Feb	Mar	April	May	June	July	Aug
0.279407665211	0.298721091565	0.310718179115	0.370391499679	0.519426265428	0.474128283264	0.443951797427
0.0	0.0	0.0	0.0317861550098	0.0156815755876	0.012739835225	0.0222
0.0	0.0	0.0	0.0	0.00868358685682	0.0	0.0
0.0	0.00711638719472	0.0	0.0104743845045	0.0	0.00509578591507	0.00278676616258
0.0	0.0	0.0	0.0	0.0	1.0	0.0
0.0	0.0	0.0631270264687	0.0761593334431	0.0743423901463	0.0362138714237	0.102970459071
0.0	0.00933281069593	0.0117426021606	0.0379258531511	0.00998521818164	0.00934454959692	0.00919466175794
0.941959074574	0.705941280727	0.712285346708	0.796426571522	0.401282486682	0.910185362125	0.866574158083
0.0	0.0	0.0	0.0	0.0	0.108376871701	0.0370551279244
0.156808648267	0.143132613967	0.0479014700181	0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0	0.0	0.0629862734822	0.0894300693387
0.0	0.0	0.0	0.0	0.0	0.0553006819591	0.0
0.0	0.698065514573	0.657882606023	0.311069792509	0.136669326342	0.0	0.0
0.0	0.0	0.0607527675277	0.182541979024	0.0	0.0	0.0105407022966
0.0729068322981	0.051699883287	0.0915353534643	0.312232888541	0.10275932005	0.104729875589	0.000477815047351
0.379330375351	0.392120977915	0.768675838688	0.710607079632	0.36034714103	0.775322798304	0.592266761263
0.0	0.199074504697	0.343511450382	0.139323444304	0.395381471123	0.492148650902	0.0
0.0	0.236027302404	0.127402626398	0.0	0.0	0.101664777834	0.0
1.0	1.0	1.0	1.0	1.0	1.0	1.0
1.0	0.792833454618	0.793514089227	0.889797567027	0.831292224872	1.0	1.0
0.130639526052	0.103238698779	0.517857998486	0.293765911144	0.332104717555	0.575962989713	0.0760740648953
0.0	0.0	0.00167919332805	0.0	0.0	0.000607664394596	0.114974288126
1.0	1.0	1.0	1.0	0.0	0.0	1.0
0.0173542845044	0.0250177271761	0.0267003685482	0.00860643850959	0.0185872563555	0.0	0.0
0.0	0.0	0.0	0.0253291383922	0.243819272013	0.257311157861	0.582406619319
0.134113630822	0.0	0.0	0.0	0.138216090986	0.0	0.0
0.291402755016	0.266323478544	0.0	0.0	0.0961710032631	0.230426330304	0.0797290255341
0.632885211996	0.138490947283	0.0677482886231	0.235294501422	0.552928145104	0.449601573288	0.557583870356
0.0	0.0	0.110739752321	0.429631017304	0.491033869054	0.611119918828	0.0
0.114343487837	0.0426657066283	0.299331864134	0.0817895554738	0.216367769799	0.137996014073	0.274817131458
0.208832212564	0.0237387498968	0.0112170155383	0.0347210154246	0.0	0.141168365246	0.0112343771942
0.0	0.562347931873	0.799448483329	0.264932954084	0.398999553941	0.0772224498156	0.0657702783307
1.0	1.0	0.0	1.0	1.0	1.0	0.0
0.341168342049	0.0805696650851	0.20480966352	0.115849530993	0.0918495579193	0.0766140350142	0.228015789281
0.0	0.108079379039	0.148036021342	0.199535647685	0.217586106615	0.184619480726	0.6111705667
